"","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19"
"01",0,66079.0310461767,101091.673849999,101392.668039388,102661.381273471,144815.974861123,135050.283713475,147006.203596111,164062.119604309,54243.8787330262,141730.625439683,36486.0450562434,186119.896877706,148636.673662832,110056.094207023,143013.146360351,108561.940747669,162513.971688612,193154.897697198
"02",66079.0310461767,0,50933.4979584522,56744.9004896242,60884.1703141816,89443.3815317766,69998.0481642551,80936.6602381392,98019.5803810264,65141.349967733,153561.02973502,50668.578455442,128141.300114496,193119.165478669,142009.739738737,154496.841023759,153944.031516843,133248.884166755,151611.762352455
"03",101091.673849999,50933.4979584522,0,9416.10195339692,14670.2762636903,43786.5189768915,51249.415235914,70636.1008652516,83645.6990977345,115425.967953535,204272.642517293,98619.9067897396,142872.146712423,241334.541308501,192055.295747327,205179.979041429,201489.152143176,173975.51172265,183278.865806505
"04",101392.668039388,56744.9004896242,9416.10195339692,0,5286.71932351215,45502.567861924,59552.647932669,79219.674855606,91589.3242314914,120021.826110299,210287.050911325,102249.789894945,152219.609178982,244301.073230136,196199.453010596,211230.216750452,204255.158618059,182590.77390913,192532.280035105
"05",102661.381273471,60884.1703141816,14670.2762636903,5286.71932351215,0,46573.9228198353,64010.1912508359,83805.3405765036,95766.5366646724,123427.151118399,214283.44847633,105228.426595738,157340.095057895,246775.445986235,199300.986277616,215242.925662227,206651.506930158,187696.438188318,197814.267020313
"06",144815.974861123,89443.3815317766,43786.5189768915,45502.567861924,46573.9228198353,0,44365.3994493097,61535.6091276427,65863.1919836433,154408.150717766,238094.32828484,139612.634529146,140732.622612363,282458.593802668,231220.08601287,238862.731765328,243031.480767179,193332.306443506,193156.319896352
"07",135050.283713475,69998.0481642551,51249.415235914,59552.647932669,64010.1912508359,44365.3994493097,0,20012.0227345807,32662.1163827451,128985.492036214,203422.247373111,119034.193677663,97965.4141900268,257924.900452289,203607.954779713,204040.822772759,220162.067143259,150505.672711167,148793.578540097
"08",147006.203596111,80936.6602381392,70636.1008652516,79219.674855606,83805.3405765036,61535.6091276427,20012.0227345807,0,17177.0452133603,133847.295136614,200693.194562002,126810.849100188,79235.2427587347,261275.472532502,205717.402654001,201187.664479527,224777.039046656,139749.736461123,133528.291412118
"09",164062.119604309,98019.5803810264,83645.6990977345,91589.3242314914,95766.5366646724,65863.1919836433,32662.1163827451,17177.0452133603,0,150543.296849574,214540.529491108,143916.065425679,78209.4483205142,277392.084884884,221535.633571414,214970.891559791,241267.193881583,148638.949713629,137641.602124554
"10",54243.8787330262,65141.349967733,115425.967953535,120021.826110299,123427.151118399,154408.150717766,128985.492036214,133847.295136614,150543.296849574,0,94017.7241125706,21288.0970747199,149755.688741823,129152.620373227,76869.688145414,95154.468668042,91226.5951135035,110036.449801085,144179.35779368
"11",141730.625439683,153561.02973502,204272.642517293,210287.050911325,214283.44847633,238094.32828484,203422.247373111,200693.194562002,214540.529491108,94017.7241125706,0,115099.409722622,177761.6281389,90319.7927732771,49234.2178409093,1384.04888813861,80517.9773541583,92744.8437457956,135169.182524286
"12",36486.0450562434,50668.578455442,98619.9067897396,102249.789894945,105228.426595738,139612.634529146,119034.193677663,126810.849100188,143916.065425679,21288.0970747199,115099.409722622,0,154223.316191095,142923.089985752,94109.8497451664,116257.456363813,103427.996732818,126099.420501435,156965.134905202
"13",186119.896877706,128141.300114496,142872.146712423,152219.609178982,157340.095057895,140732.622612363,97965.4141900268,79235.2427587347,78209.4483205142,149755.688741823,177761.6281389,154223.316191095,0,257838.15198968,201487.843495695,177708.56827562,228764.464772416,91221.969819381,64949.2477624671
"14",148636.673662832,193119.165478669,241334.541308501,244301.073230136,246775.445986235,282458.593802668,257924.900452289,261275.472532502,277392.084884884,129152.620373227,90319.7927732771,142923.089985752,257838.15198968,0,56849.4325395282,91141.9174711047,40260.6344123504,180588.340667427,223519.445719511
"15",110056.094207023,142009.739738737,192055.295747327,196199.453010596,199300.986277616,231220.08601287,203607.954779713,205717.402654001,221535.633571414,76869.688145414,49234.2178409093,94109.8497451664,201487.843495695,56849.4325395282,0,50539.8699904403,32434.1447090199,128467.18833892,171163.449277691
"16",143013.146360351,154496.841023759,205179.979041429,211230.216750452,215242.925662227,238862.731765328,204040.822772759,201187.664479527,214970.891559791,95154.468668042,1384.04888813861,116257.456363813,177708.56827562,91141.9174711047,50539.8699904403,0,81748.8063769281,92344.6026056547,134687.940961297
"17",108561.940747669,153944.031516843,201489.152143176,204255.158618059,206651.506930158,243031.480767179,220162.067143259,224777.039046656,241267.193881583,91226.5951135035,80517.9773541583,103427.996732818,228764.464772416,40260.6344123504,32434.1447090199,81748.8063769281,0,159944.124995781,202349.211724574
"18",162513.971688612,133248.884166755,173975.51172265,182590.77390913,187696.438188318,193332.306443506,150505.672711167,139749.736461123,148638.949713629,110036.449801085,92744.8437457956,126099.420501435,91221.969819381,180588.340667427,128467.18833892,92344.6026056547,159944.124995781,0,42942.3676959373
"19",193154.897697198,151611.762352455,183278.865806505,192532.280035105,197814.267020313,193156.319896352,148793.578540097,133528.291412118,137641.602124554,144179.35779368,135169.182524286,156965.134905202,64949.2477624671,223519.445719511,171163.449277691,134687.940961297,202349.211724574,42942.3676959373,0
